Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2018-04-03,1,1.070872216417167e-50,1.0,5.010072530826052e-49,5.07506641907475e-19
2018-04-04,1,1.0852106857233988e-48,1.0,1.6482965200404607e-46,9.036363041653392e-18
2018-04-05,1,2.7610573067883633e-47,1.0,3.7630531631367634e-47,9.792769250845643e-19
2018-04-06,1,1.2269740583928379e-49,1.0,2.7787984140446386e-53,2.3180507196731884e-19
2018-04-09,1,1.0703202342773064e-51,1.0,7.653603374835849e-57,4.7044990461303115e-20
2018-04-10,1,5.606069666914635e-51,1.0,6.471357999192865e-57,8.497801831819032e-20
2018-04-11,1,2.1371993511899982e-50,1.0,1.2898701955474782e-57,9.863579320150482e-20
2018-04-12,1,5.277884597977223e-50,1.0,7.384435910485168e-55,2.4306887349604e-20
2018-04-13,1,2.1308227215464685e-51,1.0,1.634308976971317e-58,2.542761286330741e-18
2018-04-16,1,7.523342864079784e-51,1.0,7.824304468858995e-60,1.6622666148008845e-18
2018-04-17,1,1.819755126120632e-52,1.0,7.864403736877686e-65,1.3946372955689286e-16
2018-04-18,1,2.3747707500115703e-49,1.0,4.102404583281389e-67,1.030608483413904e-19
2018-04-19,1,2.2232483586221553e-50,1.0,1.742419471552495e-62,1.005435005379874e-21
2018-04-20,1,4.681045085517992e-51,1.0,5.337084695282572e-61,3.431955952392398e-23
2018-04-23,1,7.489610339170485e-54,1.0,9.752553954162985e-56,6.633159024314812e-23
2018-04-24,1,2.2279456690409898e-54,1.0,8.050587197248414e-54,2.2359845184137134e-17
2018-04-25,1,2.1927860791612766e-46,1.0,3.1543622734557317e-52,3.994491454017398e-17
2018-04-26,1,5.947549209527425e-46,1.0,5.61105244105461e-41,2.827137265159662e-22
2018-04-27,1,6.053395507560938e-51,0.9999999999818101,4.2415882135928045e-42,1.8024473922807822e-11
2018-04-30,1,9.20364072823672e-37,1.0,8.175287159957918e-51,8.07574108480918e-14
2018-05-01,1,1.615392691623323e-36,1.0,2.443656625553882e-49,4.896760046876433e-19
2018-05-02,1,1.1601703870499523e-41,1.0,3.14281715715322e-49,6.182823345447106e-20
2018-05-03,1,7.822471353617556e-43,1.0,4.154854905791505e-50,1.3144769115201305e-19
2018-05-04,1,4.512356321576897e-41,1.0,1.144171922173294e-47,4.021274837203309e-18
2018-05-07,1,6.101581543563048e-41,1.0,1.2935882560070797e-49,3.1596857983106855e-20
2018-05-08,1,9.482455706699276e-43,1.0,5.425854713463969e-51,1.923857049170665e-19
2018-05-09,1,7.875055026816323e-42,1.0,4.20494698476999e-49,7.449098488618907e-20
2018-05-10,1,1.0008063884331425e-43,1.0,3.87343122882446e-57,1.0331869721972314e-21
2018-05-11,1,4.932912347604522e-47,1.0,1.205160400705026e-62,1.5779927180669156e-20
2018-05-14,1,3.937732698027225e-47,1.0,4.5926542959752816e-71,1.6253370958555557e-25
2018-05-15,1,4.6644882590475945e-49,1.0,1.4401875326853676e-64,2.6661624721779696e-27
2018-05-16,1,1.4316964625043618e-49,1.0,8.22294192901844e-61,1.4608731697549046e-26
2018-05-17,1,1.2913768941593505e-48,1.0,7.826465336297975e-58,1.5225453289107001e-27
2018-05-18,1,1.5633987773395938e-51,1.0,1.0415066630916858e-57,1.2289039757956715e-26
